id;denomination;localisation;adresse;statuts;capaciteacceuil;ref_ouverture;date_ouverture
1;New Mexico Persistent;auxiliary;payment Usability;Auto Loan Account Consultant;bluetooth;programming Soft navigate;2020-08-22
2;Assurance;driver Technician gold;Interactions Forge target;methodologies payment;optimal Unbranded;Niger Tasty;2020-08-21
3;RAM Zimbabwe;COM Developer;Awesome Steel Keyboard Ford;Cambridgeshire Coordinator indigo;Bolivia;Computer;2020-08-22
4;application;mindshare HDD Handcrafted Concrete Car;Berkshire HDD;Specialist viral;optimize CFP Franc;Cambridgeshire;2020-08-22
5;transmitting;Wooden;Avon West Virginia;Facilitator Hawaii Investment Account;copy;Ball;2020-08-22
6;firmware Tasty Wooden Cheese;Wall;India sky blue Computers;Reduced Summit;Producer;mint green Well integrated;2020-08-22
7;mint green Web Shirt;neural;asymmetric French Southern Territories Borders;Identity indexing web-enabled;Gloves Beauty;Avon;2020-08-22
8;XML Colorado;Nicaragua backing up Consultant;Gorgeous database Berkshire;Mayotte;olive;Credit Card Account Mission;2020-08-22
9;Movies out-of-the-box;Granite deliver Orchestrator;Phased definition;XML;digital East Caribbean Dollar;Auto Loan Account invoice applications;2020-08-22
10;cross-platform Licensed core;Computer;Cloned Aruba Agent;Tonga Somoni digital;Knoll GB Director;Infrastructure calculate;2020-08-22
