id;theme;lebelle_formation;cout_formation;source_financement
1;orchid;Islands Palladium;Extended Berkshire;Public-key 3rd generation Electronics
2;invoice Zambian Kwacha turquoise;software Steel;multi-byte SAS optical;platforms JSON viral
3;Universal extensible;Global GB;Crescent;archive Stravenue
4;Re-contextualized salmon;Table Hollow Steel;Salad SAS Licensed Steel Cheese;action-items
5;Lead Garden;Lesotho;Auto Loan Account;Points
6;leverage action-items;collaborative Intranet;copying Money Market Account;Handmade Wooden Shoes intuitive withdrawal
7;holistic;Persistent;IB Crest clicks-and-mortar;motivating grey
8;withdrawal neural Buckinghamshire;Alaska;orchestration;Gorgeous
9;Saudi Arabia clicks-and-mortar;Branding withdrawal;exploit Fantastic magenta;Pakistan Rupee Investment Account
10;feed Fantastic Cotton Pizza;cyan;Agent benchmark;bypassing
